zmin,zmax,zmid,OP -3,OP -1.8,OP -0.5,OP 0.4,OP 1.5,OP 2.7,OP 4.2,OP 9,OP 15
0,3.35,1.675,-0.000000174,-0.000000518,-0.00000075,-0.00000542,-9.06E-08,-0.000000127,-0.00000107,-0.0000258,-5.02E-06
3.35,6.7,5.025,-0.000000217,-0.000000444,-0.00000281,-0.0000387,-0.0000181,-0.0000261,-0.000000349,-0.00000655,-3.67E-06
6.7,11.7,9.2,-0.00000137,-0.00000144,-0.00000113,-0.00000048,-0.000000729,-0.000000738,-0.00000104,-0.000000933,-1.85E-06
11.7,14.95,13.325,-0.0000181,-0.0000182,-0.0000182,-0.0000101,-0.0000115,-0.00000948,-0.0000122,-0.0000135,-1.48E-05
14.95,20,17.475,-0.0000197,-0.0000211,-0.0000198,-0.0000108,-0.0000135,-0.0000121,-0.0000162,-0.000018,-1.84E-05
20,25,22.5,-0.0000173,-0.0000178,-0.0000183,-0.000012,-0.0000152,-0.0000147,-0.0000202,-0.0000197,-1.91E-05
25,30,27.5,-0.0000145,-0.000015,-0.0000152,-0.0000117,-0.0000192,-0.0000173,-0.0000212,-0.0000195,-1.92E-05
30,35,32.5,-0.00000678,-0.0000071,-0.00000701,-0.00000465,-0.00000747,-0.0000073,-0.00000907,-0.00000889,-8.29E-06
35,40,37.5,0,0,0,0,0,0,0,0,0
40,45,42.5,0,0,0,0,0,0,0,0,0
45,50,47.5,0,0,0,0,0,0,0,0,0
